created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed May 08 08:37:22 +0000 2024;1788126032631074884;"Pemerintah resmi menaikan harga eceran tertinggi beras medium. Kenaikannya hampir Rp2.000 per kilogram di tengah kenaikan harga bahan pangan lainnya yang masih belum usai. Yg penting Prabowo presiden kasihan 4x ikut pilpres..... pasukan All in yg rela menderita mana suaranya ? https://t.co/i4t8w23f3U";16;51;212;335;in;1040306964100669440;1788126032631074884;NenkMonica;https://twitter.com/NenkMonica/status/1788126032631074884
Wed May 08 08:09:12 +0000 2024;1788118943854686288;"Jokowi Sebut Harga Sebagian Pangan di Pasar Baru Karawang Turun https://t.co/L3efBIOYe5 #beritasatu #news #berita";0;0;0;1;in;154102750;1788118943854686288;Beritasatu;https://twitter.com/Beritasatu/status/1788118943854686288
Wed May 08 07:59:31 +0000 2024;1788116506854965545;"Analisis beberapa bulan ini memang target market ku bukan di story WA memang harus action langsung  👌🏻 but it's okay  Beda segment baru tanya harga setelah tau pd bilang wow Giliran aku jualan lainnya dibilang heh kemurahen ! 🤣 jangan lupa sandang sm pangan tu bedaaaa! sist";0;0;0;1;in;1497255630;1788116506854965545;Nellasari__;https://twitter.com/Nellasari__/status/1788116506854965545
Wed May 08 07:50:00 +0000 2024;1788114110863061388;"Presiden Joko Widodo (Jokowi) menyatakan harga beberapa komoditas pangan sudah mengalami penurunan.  #PresidenJokowi #Komoditas #MedcomId  https://t.co/T1qevpeHUh";0;1;0;0;in;902837643024539651;1788114110863061388;medcom_id;https://twitter.com/medcom_id/status/1788114110863061388
Wed May 08 07:41:36 +0000 2024;1788111999106437609;"Musim Giling 2024, Badan Pangan Nasional Patok HAP Gula Rp14.500. 👇  Badan Pangan Nasional melakukan relaksasi harga acuan pembelian atau HAP gula di musim giling tahun 2024 ini. Harga… https://t.co/6bcnb9SIef #Ekbis #hargagula #KabupatenMalang #musimgiling via @beritajatimcom";0;0;0;0;in;21287066;1788111999106437609;beritajatimcom;https://twitter.com/beritajatimcom/status/1788111999106437609
Wed May 08 07:41:20 +0000 2024;1788111932689678372;"@convomf Orang mah dukung Palestina atas dasar kemanusiaan, hati mana yg ga keiris liat orang Palestina harus kesusahan makan? Operasi tanpa bius? Udh gitu Negara Islam ga bs berkutik? SAKIT HATI cuk bukan FOMO. Indo meskipun harga pangan naik bs makan, BEDA SM Palestina susah 😭😭😭";0;0;0;0;in;609136448;1787999009484964016;Viwit_Indomy;https://twitter.com/Viwit_Indomy/status/1788111932689678372
Wed May 08 07:02:39 +0000 2024;1788102195805847819;"Halo Sobat SIP!  Harga beras medium nasional trennya terus meningkat. Tahun ini, harganya terpantau lebih tinggi dibandingkan Tahun 2023. Yuk, simak infografis berikut.  #AgroStandar #BSIP #BSIPKementan #BSIPTanamanPangan #KementerianPertanian #Kementan https://t.co/9pn637VSkf";0;0;0;1;in;191384435;1788102195805847819;bsip_tp;https://twitter.com/bsip_tp/status/1788102195805847819
Wed May 08 06:33:59 +0000 2024;1788094981590356290;"tegang dan sedikir penuh risau, Erickson berusaha tetap tenang dan fokus pada masalah yang harus diselesaikan kini.  "Saya paham bahwa Anda menghadapi tantangan besar terkait kenaikan harga bahan pangan," ucap Erickson, penuh formalitas jua secuil perhatian.";0;1;0;0;in;941520401443667969;1788094971171729492;la_gneia;https://twitter.com/la_gneia/status/1788094981590356290
Wed May 08 05:58:28 +0000 2024;1788086043482489335;"Para pejabat baik pemerintah maupun @DPR_RI KERJA KALIAN APA SAJA, SEHINGGA HARGA" BAHAN POKOK PANGAN DEMIKIAN TINGGINYA. TDK ADA YG BECUS NGURUS NEGARA, TIDAK MAMPU MENURUNKAN HARGA PANGAN MUNDUR SEMUA. KORUPSI SJ YG DIGEDEIN, TIDAK BECUS NGURUS NEGARA, MASIH SJ CLENGEAN.";0;0;0;0;in;1168102826624483329;1788084834944135289;ENS53311139;https://twitter.com/ENS53311139/status/1788086043482489335
Wed May 08 05:53:40 +0000 2024;1788084834944135289;"HARGA PERBAWANGAN LUAR BIASA MAHALNYA, BLM KEBUTUHAN DAPUR LAINNYA,  KATANYA MAU MAJU ke INDONESIA EMAS, PPN TINGGI, HARGA BAHAN POKOK TINGGI, BANYAK RAKYAT YG KELAPARAN   KALAU PEJABAT PEMERINTAH TIDAK MAMPU MENSTABILKAN BAHAN POKOK PANGAN SANDANG PAPAN SEHARUSNYA MUNDUR KALIAN";1;3;2;9;in;1168102826624483329;1788084834944135289;ENS53311139;https://twitter.com/ENS53311139/status/1788084834944135289
Wed May 08 05:43:04 +0000 2024;1788082168612438440;"Jokowi memastikan harga pangan di Karawang sudah turun. #bisnisupdate #update #bisnis #text https://t.co/acMvFzcI39";0;0;0;0;in;759692754985242625;1788082168612438440;kumparan;https://twitter.com/kumparan/status/1788082168612438440
Wed May 08 05:34:11 +0000 2024;1788079934507995542;"@ike_hw71 Nah ini kategorinya termasuk Toxic ngatur2 yg bukan urusan Mendag, tugas dan pekerjaan sendiri diabaikan, seperti harga Pangan makin mahal, Barang2 Import tdk terkontrol, ketahuan kerugian negara yg dihitung, tp izin masuknya bisa bebas.";0;0;1;1;in;1678403678959484929;1787992364210110826;ara_sofyan;https://twitter.com/ara_sofyan/status/1788079934507995542
Wed May 08 05:14:09 +0000 2024;1788074889142022483;"Daftar Harga Pangan 8 Mei 2024: Daging hingga Minyak Goreng Naik https://t.co/9Hg7XMth8t";0;0;1;0;in;41730943;1788074889142022483;VIVAcoid;https://twitter.com/VIVAcoid/status/1788074889142022483
Wed May 08 05:13:12 +0000 2024;1788074653438873873;"@fosayfisa Ini bener lagiii. harga thrift Uniqlo sama beli baru juga gabeda jauh  tapi karna ada market dan laku jdi ya gitudeh";0;0;0;0;in;599990025;1788061492103029059;AriefffNH;https://twitter.com/AriefffNH/status/1788074653438873873
Wed May 08 05:00:08 +0000 2024;1788071361694531792;"Daftar Harga Bahan Pangan di Malang Hari Ini, 8 Mei 2024 - https://t.co/INxEIKuW1X https://t.co/wwYnvV7LsC";0;0;0;0;in;1503950077265874947;1788071361694531792;BlokaMedia;https://twitter.com/BlokaMedia/status/1788071361694531792
Wed May 08 04:36:13 +0000 2024;1788065343405211687;"@CNNIndonesia Buanyakk,,korupsi,SDM masih rendah,pengangguran tinggi, harga pangan semakin tinggi, dollar tinggi";1;0;0;3;in;1658128453818785792;1788019899165778362;Tr3635873439344;https://twitter.com/Tr3635873439344/status/1788065343405211687
Wed May 08 04:24:09 +0000 2024;1788062309757420016;"@jokowi Oiiii apa dampaknya bagi kami rakyat kecil dengan pertumbuhan itu ditengah harga bahan pangan naik...nolllll";0;0;0;0;in;1763865002359021568;1787764894986879115;ArjunaJbi52135;https://twitter.com/ArjunaJbi52135/status/1788062309757420016
Wed May 08 04:06:33 +0000 2024;1788057877233738065;"@KompasTV kenaikan harga pangan juga tertinggi selama kalian berkuasa😅";0;0;0;0;in;1658128453818785792;1787624274246918395;Tr3635873439344;https://twitter.com/Tr3635873439344/status/1788057877233738065
Wed May 08 04:01:37 +0000 2024;1788056636747403265;"Geger Kenaikan Harga Pangan Jelang Akhir Periode Jokowi https://t.co/BlLqvu0tGg";0;0;0;0;in;118646322;1788056636747403265;Bisniscom;https://twitter.com/Bisniscom/status/1788056636747403265
Wed May 08 03:46:18 +0000 2024;1788052784564343096;"@sigitwid Apa arti sebuah foto dibanding harga pangan naik rakyat menjerit ... blegedekkkk";0;0;0;0;in;1604043964025167872;1787806533918822510;midris_sofyan;https://twitter.com/midris_sofyan/status/1788052784564343096
Wed May 08 03:22:25 +0000 2024;1788046771119427935;"&lt Salah satu penyebabnya ialah pendapatan masyarakat, khususnya kelas menengah, yang cenderung tumbuh stagnan. Padahal di sisi lain, laju inflasi komoditas pangan berada dalam tren kenaikan sejak awal tahun. Maret lalu inflasi komponen harga bergejolak mencapai 10,33 persen.&gt ";0;0;0;0;in;29380490;1788046771119427935;dalangdigital;https://twitter.com/dalangdigital/status/1788046771119427935
Wed May 08 03:04:59 +0000 2024;1788042386905727106;"@dhedhote1978 @ProfOnline_id Tapi BUMN di bidang perbankan, konstruksi, asuransi, migas baik2 aja tuh  Apalagi harga komoditas pangan nggak semata2 dipengaruhi BUMN karena hal tersebut juga bergantung pada cuaca dan hal2 lainnya yang dikontrol pemerintah";0;1;0;0;in;3245737922;1787825185057636719;BramantyaNigel;https://twitter.com/BramantyaNigel/status/1788042386905727106
Wed May 08 02:44:34 +0000 2024;1788037245200388239;"Ekonom: Waspada Harga Pangan Tinggi Bikin Ekonomi Q2 Stagnan https://t.co/UAyeh9fa5e";0;0;0;0;in;1582972008479920129;1788037245200388239;BloombergTZ;https://twitter.com/BloombergTZ/status/1788037245200388239
Wed May 08 02:37:07 +0000 2024;1788035374213923037;"merasa insightful banget soal harga pangan mentang mentang baru belajar masak 2 minggu ke belakang wkwk";0;0;0;0;in;1764826733596004352;1788034592819363880;spicifettuccini;https://twitter.com/spicifettuccini/status/1788035374213923037
Wed May 08 01:36:33 +0000 2024;1788020130196361624;"Harga Pangan Hari Ini 8 Mei: Harga Telur Ayam Naik, Cabai Makin Pedas https://t.co/OBCwe0dxyJ";0;0;0;1;in;118646322;1788020130196361624;Bisniscom;https://twitter.com/Bisniscom/status/1788020130196361624
Wed May 08 01:15:11 +0000 2024;1788014753211990256;"Badan Pangan Nasional (Bapanas) resmi menaikan Harga Eceran Tertinggi (HET) beras dari yang sebelumnya berada pada harga Rp 10.900 menjadi Rp 12.500. Kebijakan ini resmi berlaku sejak awal bulan Mei 2024 ini.  https://t.co/NaII4NwVO6";0;0;0;0;in;1752553268537077760;1788014753211990256;radarpena_news;https://twitter.com/radarpena_news/status/1788014753211990256
Wed May 08 01:12:56 +0000 2024;1788014185361834484;"@shanaknshr sama harga min-  harga pangan in general";0;1;0;0;in;1215913664366051330;1787875193131782368;veritasratiio;https://twitter.com/veritasratiio/status/1788014185361834484
Tue May 07 23:39:35 +0000 2024;1787990695254646867;"@SantaiTerooos mudahmudahan kepiminan pak prabowo lapangan pekerjaan berlimpah untuk kalangan bawah dan harga poko pangan murah";0;0;0;0;in;3118106564;1787842845656920489;marningaja;https://twitter.com/marningaja/status/1787990695254646867
Tue May 07 23:20:59 +0000 2024;1787986014998577557;"@jokowi Beras impor berjuta juta ton, harga bahan pangan mahal semua,, ooiiiii jgn utang buat kekayaan sekelompok aje,, pikirkan itu";0;0;0;0;in;1549324225130872832;1787764894986879115;Relaxaja75;https://twitter.com/Relaxaja75/status/1787986014998577557
Tue May 07 22:49:26 +0000 2024;1787978073067118738;"Penyaluran beras Stabiliasi Pasokan Harga Pangan (SPHP) berangsur-angsur disesuaikan ke pasar ataupun toko di Kabupaten Malang yang sudah terdaftar sebagai jaringan Bulog #MBKBFM  https://t.co/F3MyB2EN4v";0;0;0;0;in;280794125;1787978073067118738;kalimaya_malang;https://twitter.com/kalimaya_malang/status/1787978073067118738
Tue May 07 22:28:25 +0000 2024;1787972786742497593;"KEPALA DINAS KETAHANAN PANGAN NTB DAMPINGI DIREKTUR SPHP BAPANAS TINDAK LANJUT GEJOLAK HARGA JAGUNG DI KAB. BIMA DAN DOMPU  selengkapnya di: https://t.co/ZbbXbdkG4W https://t.co/3qa3oSV3HJ";0;0;0;0;in;334446286;1787972786742497593;bkpntb;https://twitter.com/bkpntb/status/1787972786742497593
Tue May 07 21:09:36 +0000 2024;1787952951535038956;"@KompasTV Tapi harga pangan merangkak naik";0;0;0;0;in;728543992791490560;1787624274246918395;LukmanaReal;https://twitter.com/LukmanaReal/status/1787952951535038956
Tue May 07 20:22:10 +0000 2024;1787941011831894192;"@tahilalats Salah satu cara menyejahterakan petani adalah menikan harga pangan pokok (beras, ketela, jagung) !";0;0;0;2;in;1504050156274024452;1787633272979394840;VankaKusuma;https://twitter.com/VankaKusuma/status/1787941011831894192
Tue May 07 16:57:50 +0000 2024;1787889592609472624;"Ini gak cuman gue aja kan ya yang udah jadi istri dan ibu tapi gatau harga pangan? Baru sadar gue gatau harga beras 1 liter brp karena belinya kek yg per 5 kiko, cabe sekilo berapa, karena belinya kewarung deket rumah tiap beli 5rebu doang, tahu sebungkus brapa, bawang, dll.";0;0;0;1;in;955257720952602624;1787889592609472624;helloimey_;https://twitter.com/helloimey_/status/1787889592609472624
Tue May 07 16:26:14 +0000 2024;1787881639701537008;"@convomfs Satu juta sekarang itu beneran gak ada harganya, bukannya gak bersyukur atau boros, tapi semua harga naik, jangan lupa juga pertimbangkan beda harga pangan di sulawesi dan jawa, mungkin di sulawesi lebih mahal (cmiiw). Berarti kamunya yang harus kerja keras nder";0;0;0;0;in;1463708641505071105;1787733456522445064;AuliaRahmayani9;https://twitter.com/AuliaRahmayani9/status/1787881639701537008
Tue May 07 15:03:28 +0000 2024;1787860810766921958;"Beginilah kenyataan yg dihadapi rakyat Rakyat sulit mendapatkan kemudahan dalam mengakses hunian yg layak Harga pangan dan sandang yg fluktuatif naik terus Sementara itu wakil rakyat begini";0;0;0;1;in;1512253914087059457;1787860810766921958;MS_LuBI5;https://twitter.com/MS_LuBI5/status/1787860810766921958
Tue May 07 15:01:53 +0000 2024;1787860410944889157;"@CNNIndonesia Gw kesel liat muka orang disebelah anda pak . Harga pangan kok pada mahal ya ?";0;0;1;3;in;355548298;1787823723225194979;eddejp;https://twitter.com/eddejp/status/1787860410944889157
Tue May 07 14:37:07 +0000 2024;1787854177709993989;"Ekonom Was-was Lonjakan Harga Pangan Bisa Hambat Pertumbuhan Konsumsi Rumah Tangga Kuartal II/2024 https://t.co/Hkv6i2bMhZ";0;0;0;1;in;118646322;1787854177709993989;Bisniscom;https://twitter.com/Bisniscom/status/1787854177709993989
Tue May 07 14:29:21 +0000 2024;1787852225521611257;"@LexWu_13 @NasDem maaf jangan2 cukur bulu Je*put nya juga pakai uang negara, disaat harga pangan naik dan rakyat susah eh malah uang rakyat dihambur2 kan buat keluarganya";0;0;0;0;in;1186656691581927427;1787652651037192310;PribumiD;https://twitter.com/PribumiD/status/1787852225521611257
Tue May 07 14:13:36 +0000 2024;1787848258813046812;"Gerakan boikot Loblaw, salah satu supermarket terbesar di Inggris, yang didorong karena rekor pendapatan dilaporkan oleh Loblaw tapi Dldi saat yang sama terjadi peningkatan harga pangan yang mencekik masyarakat umum  https://t.co/fZWRs4CnS1 https://t.co/euRBdPdpPz";0;1;0;0;in;1206245253147054082;1787848258813046812;Rakhalandikas;https://twitter.com/Rakhalandikas/status/1787848258813046812
Tue May 07 13:33:41 +0000 2024;1787838215363412099;"Harga Pangan Hari Ini 7 Mei: Daging Ayam dan Cabai Rawit Meroket https://t.co/H9AOGUHO1C";0;0;1;1;in;980097559736721408;1787838215363412099;AlbertSolo2;https://twitter.com/AlbertSolo2/status/1787838215363412099
Tue May 07 13:11:57 +0000 2024;1787832745906872494;"Masalahnya, di sini yang terbang kaum kelas atas. Mereka yang di bawah harus bergelut dengan makin ganasnya badai PHK plus  kenaikan BBM, tarif listrik, biaya transportasi, pajak, harga pangan, kelangkaan pupuk. https://t.co/eQnj8rsjmN";2;7;29;49;in;296177546;1787832745906872494;giginpraginanto;https://twitter.com/giginpraginanto/status/1787832745906872494
Tue May 07 12:18:55 +0000 2024;1787819397681442867;"Intervensi Pemerintah Diperlukan untuk Stabilkan Harga Pangan dan Bantu Petani di Aceh  https://t.co/SMsrqRTNNs";0;0;0;0;in;1384794631968202753;1787819397681442867;RmolAceh;https://twitter.com/RmolAceh/status/1787819397681442867
Tue May 07 12:13:26 +0000 2024;1787818017658958234;"@jokowi Percaya ??? Dimana harga pangan naik dan  rakyat menjerit ... omon omon ... jogetin aja orang ngelindur";0;0;0;0;in;1604043964025167872;1787764894986879115;midris_sofyan;https://twitter.com/midris_sofyan/status/1787818017658958234
Tue May 07 11:59:52 +0000 2024;1787814606624485389;"@PUTRY_NUSANTARA Promosi motor sekalian kan itu dia yahh, lahh tpi pajak Dan Harga pangan serba naik skrg";0;1;0;1;in;1751824993816875009;1787702068045869297;rizkira_fauzia;https://twitter.com/rizkira_fauzia/status/1787814606624485389
Tue May 07 11:50:07 +0000 2024;1787812150842732572;"Politisi PKB, Daniel Johan menilai, kenaikan harga eceran tertinggi (HET) beras Stabilisasi Pasokan dan Harga Pangan (SPHP) menjadi Rp12.500 per kilogram (kg) oleh Bapanas hanya menguntungkan pihak tertentu saja. Bukan petani.  #1PKB #SuaraPKB  #BerasBulog #BerasSPHP https://t.co/UHMBgODwDV";0;3;24;45;in;748953283;1787812150842732572;DPP_PKB;https://twitter.com/DPP_PKB/status/1787812150842732572
Tue May 07 11:40:21 +0000 2024;1787809693769015315;"@kumparan Yg  izin mahal harga pangan";0;0;0;0;in;1709220433923645440;1787730105839820902;josh800217;https://twitter.com/josh800217/status/1787809693769015315
Tue May 07 11:34:18 +0000 2024;1787808172616642600;"@tvOneNews Indonesia negara agraris bidang pertanian mumpuni sekotrnya terbaik namun kenapa harga komoditas pangan bisa melonjak harganya";0;0;0;0;in;1660266878986776577;1787725427181760937;Streetback_Farm;https://twitter.com/Streetback_Farm/status/1787808172616642600
Tue May 07 11:18:56 +0000 2024;1787804302016434292;"Pemerintah Perlu Antisipasi Lonjakan Harga Minyak dan Bahan Pangan https://t.co/dQvoSdnrZp";0;0;0;0;in;990237626;1787804302016434292;rmol_id;https://twitter.com/rmol_id/status/1787804302016434292
Tue May 07 10:01:48 +0000 2024;1787784891213771030;"@tanyakanrl Menteri ampas @ZUL_Hasan  Nurunin harga pangan gak bs, malah dia nurunin harga dirinya sendiri";0;0;0;2;in;1233958407540920320;1787693058009764308;Ihsanisme5;https://twitter.com/Ihsanisme5/status/1787784891213771030
Tue May 07 09:52:18 +0000 2024;1787782501626417438;"Foto: Gerakan Pangan Murah di Jakarta Guna Stabilkan Pasokan dan Harga Pangan #bisniasupdate #update #bisnis #text https://t.co/4JTQXNZHEn";0;0;0;0;in;759692754985242625;1787782501626417438;kumparan;https://twitter.com/kumparan/status/1787782501626417438
Tue May 07 09:51:01 +0000 2024;1787782178618884142;"Menarik iki Lur. Pangan alternatif pengganti beras, Sorgum namanya. Sejenis biji-bijian yang sama baiknya seperti gandum, beras, dan jagung.  Estimasi harga jual mulai dari Rp. 20 ribu sampai Rp. 80 ribu per kilogram. Gimana pendapatmu Lur, worth it sebagai pengganti beras? https://t.co/vf5FFWEVvr";0;0;0;0;in;1691272374736543744;1787782178618884142;seduluryogyaku;https://twitter.com/seduluryogyaku/status/1787782178618884142
Tue May 07 08:39:44 +0000 2024;1787764240562159962;"Ketahanan pangan memastikan terjadinya ketersediaan pangan masyarakat dengan harga terjangkau. Ketersediaan pangan yang terjangkau sekaligus bisa membantu pengendalian inflasi daerah," kata Kepala Diskominfo Purwakarta, Rudi Hartono, Senin, 6 Mei 2024.";0;1;0;0;in;1715572460;1787764230030340434;DiskominfoPWK;https://twitter.com/DiskominfoPWK/status/1787764240562159962
Tue May 07 07:29:00 +0000 2024;1787746440871342214;"Harga Pangan di Pekanbaru Masih Mahal, 'yang Harus Menguras Uang Belanja Dapur' https://t.co/eIZoI9VJ3J";0;0;0;0;in;1541820741699923968;1787746440871342214;RiaupagiSurya;https://twitter.com/RiaupagiSurya/status/1787746440871342214
Tue May 07 07:21:15 +0000 2024;1787744488070455635;"@PaulSonofGod12 @daegaIshop @sotocekerr @convomfs gen z bkn bocil nyet, lu norak gk tau gen z dr tahun brp realistis aja emg sebulan gk cukup sejuta walaupun di pas-in jg karena harga bahan pangan banyak yg naik, blm gas, beras, internet, trs kalo ada iuran, dll";0;2;0;8;in;1647601616;1787733456522445064;kembarannyabora;https://twitter.com/kembarannyabora/status/1787744488070455635
Tue May 07 07:05:27 +0000 2024;1787740511518040461;"Langkah pemerintah menjaga stabilitas harga pangan. . . #StokPanganNasionalAman #bappanas #PemerintahAtasiKrisisPangan #hargapanganterjangkau #hargapanganstabil #hargapangan #hargapangankonsumen #pemerintahjaminhargapangan https://t.co/UhKTvVXptd";0;0;0;0;in;1187225755635212288;1787740511518040461;torang_satu;https://twitter.com/torang_satu/status/1787740511518040461
Tue May 07 07:04:12 +0000 2024;1787740198371312085;"@convomfs Ya elu emang pelit kak?? 1 juta sekalian ngurus bayi ya mana cukup tah? Popok, susu dkk itu muaaaaahl buanget. Belum lagi bahan pangan yang lain, nggak bisa di dapat dengan cuma-cuma harga murah. Perhitungan pol ini mah atuh..";0;0;0;0;in;1731496004040671232;1787733456522445064;seerangkai;https://twitter.com/seerangkai/status/1787740198371312085
Tue May 07 06:47:09 +0000 2024;1787735906780418111;"@tanyakanrl liat deh petani, nelayan, kamu kira mereka kerja sambil rebahan? semua harga pangan MAHAL tapi hasil panen mereka dibeli dengan MURAH, siapa yg gak ngeluh coba???  alhamdulilahnya kamu keliatannya udah punya kehidupan yg layak, semoga nular ke seluruh warga Indonesia ya nder.";0;0;0;0;in;533138756;1787620407618818076;kapansehatya;https://twitter.com/kapansehatya/status/1787735906780418111
Tue May 07 06:13:05 +0000 2024;1787727334696788242;"@KompasTV Tapi faktanya rakyat masih tidak sejahtera, ini harga kebutuhan pangan meningkat terus, jangankan beras sayur bayam, kol, lombok, brambang, bawang sj rakyat sudah pd megap megap mau belinya. Silahkn pr pejabat tiap hari blusukan pasar. Jangan cuma pinter retorika.";0;0;0;0;in;1645082417227776000;1787624274246918395;Angkringan2410;https://twitter.com/Angkringan2410/status/1787727334696788242
Tue May 07 06:06:18 +0000 2024;1787725627724103863;"@zy_zy_its_me @jokowi Pengkritik Dari pihak Anies Ngeritik nya berkelas.. Kritik harag pangan naik.. Harga BBM naik.. Ekonomi merosot, kualitas pendidikan turun.. Generasi muda susah cari bkerja. Pengkritik dari pihak jokowi.. Cuma modal sumpah serapah dan ngadrunin orang²., menebar kebencian";0;0;0;2;in;1626070342132445185;1787418462136180877;UmmiYusniar;https://twitter.com/UmmiYusniar/status/1787725627724103863
Tue May 07 05:49:51 +0000 2024;1787721487857991951;"Pemkot Mojokerto Gelar Operasi Pasar untuk Menekan Harga Bawang yang Melonjak Drastis  #pangan #kenaikanpangan #ekonomi #bisnis   https://t.co/qF1doFaQxG";0;0;0;0;in;744049433436884992;1787721487857991951;InilahMojokerto;https://twitter.com/InilahMojokerto/status/1787721487857991951
Tue May 07 05:27:27 +0000 2024;1787715849056588108;"@dobujacks @s4meeee @undipmenfess lah bego, subsidi bbm itu ngaruh ke harga kebutuhan pokok termasuk bahan pangan makanan gratis, kalo subsidi hilang ya apapun jadi serba mahal, tolol bat dah ah omon omon";0;0;0;0;in;1533865984762970112;1787449103095656922;soyandtea;https://twitter.com/soyandtea/status/1787715849056588108
Tue May 07 05:19:33 +0000 2024;1787713863926047102;"Daftar Harga Pangan 7 Mei 2024: Beras Turun, Daging Ayam hingga Gula Naik https://t.co/Om7vYLjr49";0;0;1;2;in;41730943;1787713863926047102;VIVAcoid;https://twitter.com/VIVAcoid/status/1787713863926047102
Tue May 07 05:05:17 +0000 2024;1787710269789245734;"@hrdbacot Teori pemerintah kan, ekonomi naik harga pangan naik jadi berasa";0;0;0;0;in;1039897084877402112;1787369838211633561;aributongg;https://twitter.com/aributongg/status/1787710269789245734
Tue May 07 04:15:57 +0000 2024;1787697858147500259;"@tanyakanrl Copras-capres mulu  Noh, harga pangan pada naik";0;0;0;1;in;1710203648;1787693058009764308;Hilihisasi;https://twitter.com/Hilihisasi/status/1787697858147500259
Tue May 07 04:03:11 +0000 2024;1787694642903097377;"Harga Bahan Pangan Turun, tapi Masih di Atas Acuan Pemerintah https://t.co/pmapP7Hsam";0;2;1;2;in;4187275698;1787694642903097377;TirtoID;https://twitter.com/TirtoID/status/1787694642903097377
